q0094  11:38.9-11:40.8  Почему ты это нарисовала?
q0095  11:42.8-11:44.1  Мы можем ехать?
q0096  11:45.0-11:45.9  Посмотри на меня.
q0097  11:47.3-11:48.5  Мне здесь не место!
q0098  11:48.9-11:50.9  Мне нигде не место.
q0099  11:52.6-11:54.6  Твое место рядом со мной.
q0100  11:54.9-11:56.7  А мое - с тобой.
q0101  12:03.6-12:04.4  Поедем.
q0102  12:11.5-12:15.1  На протяжении веков племя иви было хранителями Острова Черепа -
q0103  12:15.2-12:17.5  обиталища предков великого Конга.
q0104  12:17.5-12:18.5  ЯЗЫК ИВИ Д-Р АЙЛИН ЭНДРЮС
q0105  12:18.6-12:20.6  Но когда штормы уничтожили остров,
q0106  12:20.7-12:22.6  все иви погибли,
q0107  12:22.7-12:25.5  кроме одного представителя племени.
q0108  12:26.1-12:30.3  Девочки, спасенной от губительного шторма.
q0109  12:30.3-12:32.5  Остальные жители сгинули в волнах.
q0110  12:32.7-12:35.9  Стали историей, как и великие конги.
q0111  12:35.9-12:36.9  Боженьки!
q0112  12:40.9-12:43.6  СЕКРЕТНО, ПОВЕРХНОСТНЫЕ ВОЛНЫ
q0113  12:56.5-12:59.8  НЕТ СИГНАЛА
q0114  12:59.9-13:05.3  ДАТЧИК БЛИЗОСТИ АКТИВЕН ПРИБЛИЖЕНИЕ!
q0115  13:23.6-13:25.7  Я боюсь, со мной что-то не так.
q0116  13:27.2-13:29.8  Всё в порядке.
q0117  13:29.9-13:31.2  Ты совершенна.
q0118  13:33.2-13:35.8  Мне кажется, я схожу с ума.
q0119  13:43.3-13:45.2  Мы разберемся.
q0120  13:47.0-13:50.3  МАЙАМИ, ФЛОРИДА
q0121  13:56.1-13:58.3  Где будете, когда нападет следующий титан?
q0122  13:58.9-14:04.3  Как вы защитите вещи и людей, которыми дорожите?
q0123  14:06.1-14:08.4  Спонсор этого подкаста - Gargantua -
q0124  14:08.5-14:10.6  единственная компания,
q0125  14:10.7-14:12.7  страхующая от титанов ваши дома и личные вещи.
q0126  14:12.8-14:15.2  Годзиллу не заботят ваши надежды и мечты,
q0127  14:15.2-14:16.6  а Gargantua заботят.
q0128  14:16.7-14:18.9  Ладно, титаномыслители!
q0129  14:19.3-14:23.0  Сегодня у нас много тем для обсуждения.
q0130  14:23.1-14:25.7  Ведется запись. Уходите!
q0131  14:27.5-14:31.0  Да. Только хочу всем сообщить, что нет...
q0132  14:31.1-14:32.1  Я убью...
q0133  14:32.2-14:34.1  Невероятно! Что?
q0134  14:37.3-14:38.9  Привет, Берни.
q0135  14:40.0-14:41.9  Айлин Эндрюс, мы встречались в Гонконге.
q0136  14:43.6-14:46.9  Да-да-да. Гонконг. Это было так давно.
q0137  14:46.9-14:49.8  Нет, о Боже, да.
q0138  14:49.9-14:51.9  - Мои волосы были длиннее. - Ты подстриглась.
q0139  14:52.0-14:53.6  И осветлила пряди. Славно.
q0140  14:56.0-14:58.0  Хотела спросить, можешь ли мне помочь.
q0141  14:59.0-14:59.9  Я?
q0142  15:02.2-15:06.5  Конечно. Да. Конечно. Заходи, доктор Эндрюс.
q0143  15:06.6-15:07.8  - Ладно. - Да.
q0144  15:08.5-15:11.0  До конца и налево. Так.
q0145  15:13.4-15:15.3  Садись. Чем могу тебе помочь?
q0146  15:15.4-15:18.4  Знаешь, mi casa es su дом.
q0147  15:18.5-15:20.6  Так. Запись колебаний справа -
q0148  15:20.7-15:24.1  это сигнал, создающий помехи на аппаратах в Полой Земле.
q0149  15:24.2-15:25.8  - Ясно. - А это...
q0150  15:25.9-15:29.5  А это рисунки моей дочери Джиа.
q0151  15:29.6-15:32.1  Ты сочтешь меня сумасшедшей.
q0152  15:33.2-15:35.9  Нет, в средней части изображение совпадает.
q0153  15:36.3-15:38.5  Да. Именно так.
q0154  15:39.8-15:40.8  Спасибо.
q0155  15:40.9-15:43.7  Наши аналитики не знают, что с этим делать.
q0156  15:43.8-15:44.8  Ходят вокруг да около.
q0157  15:44.9-15:48.0  Якобы радиопомехи, совпадение, но я...
q0158  15:48.1-15:49.9  Я знаю, ты мыслишь нестандартно.
q0159  15:50.6-15:52.1  Не знала, к кому еще обратиться.
q0160  15:53.3-15:55.4  - Прислали, потому что... - Не присылали. Я сама...
q0161  15:55.5-15:58.0  Знаешь, это иронично. Монарх не подтверждает, что я сыграл
q0162  15:58.1-16:00.3  решающую роль в уничтожении Мехагодзиллы,
q0163  16:00.4-16:02.1  и это стоило мне тысяч...
q0164  16:02.2-16:05.9  ...сотен подписчиков моего блога. А тролли...
q0165  16:06.6-16:09.2  ...интернет-тролли ставят под сомнение всё, что я излагаю.
q0166  16:09.3-16:11.3  Особенно этот тролль.
q0167  16:11.4-16:14.2  Его зовут ghidorastan64. Слышала о нём?
